"","Date","Region","Store","Units.Sold","Average.Retail.Price","Sales.Rep","Endcap","Demo","Demo1.3","Demo4.5","Natural","Fitness"
"1","5/4/2010","FL","Biscayne (aka Aventura)",150.7020879,4.39,0,0,0,0,0,1,0
"2","5/11/2010","FL","Biscayne (aka Aventura)",197.4037975,3.997692308,0,0,0,0,0,1,0
"3","5/18/2010","FL","Biscayne (aka Aventura)",235.1061715,3.809230769,0,0,0,0,0,1,0
"4","5/25/2010","FL","Biscayne (aka Aventura)",226.6924273,3.835,0,0,0,0,0,1,0
"5","6/1/2010","FL","Biscayne (aka Aventura)",257.6881508,3.9025,0,0,0,0,0,1,0
"6","6/8/2010","FL","Biscayne (aka Aventura)",132.9571898,4.497692308,0,0,0,0,0,1,0
"7","6/15/2010","FL","Biscayne (aka Aventura)",221.8899685,4.116666667,0,0,0,0,0,1,0
"8","6/22/2010","FL","Biscayne (aka Aventura)",245.8813564,4.116666667,0,0,0,0,0,1,0
"9","6/29/2010","FL","Biscayne (aka Aventura)",156.102535,4.116666667,0,0,0,0,0,4,0
"10","7/6/2010","FL","Biscayne (aka Aventura)",200.103966,3.747333333,0,0,0,0,0,1,0
"11","7/13/2010","FL","Biscayne (aka Aventura)",128.3960034,4.0125,0,0,0,0,0,1,0
"12","5/4/2010","FL","Boca Raton",142.7782102,4.39,0,0,0,0,0,0,4
"13","5/11/2010","FL","Boca Raton",237.5445543,4.235454545,0,0,0,0,0,0,4
"14","5/18/2010","FL","Boca Raton",141.5332968,3.809230769,0,0,0,0,0,0,4
"15","5/25/2010","FL","Boca Raton",158.0739492,3.809230769,0,0,0,0,0,0,4
"16","6/1/2010","FL","Boca Raton",255.1177434,4.055625,0,0,0,0,0,0,4
"17","6/8/2010","FL","Boca Raton",129.7936265,4.383333333,0,0,0,0,0,0,4
"18","6/15/2010","FL","Boca Raton",137.7642851,4.35875,0,0,0,0,0,0,4
"19","6/22/2010","FL","Boca Raton",306.7938187,4.35875,0,0,0,0,0,0,4
"20","6/29/2010","FL","Boca Raton",103.3190227,4.35875,0,0,0,0,0,0,4
"21","7/6/2010","FL","Boca Raton",240.2251772,4.0125,0,0,0,0,0,0,4
"22","7/13/2010","FL","Boca Raton",190.024801,4.0125,0,0,0,0,0,0,4
"23","5/4/2010","FL","Coral Gables",149.7678715,4.518571429,0,0,0,0,0,2,1
"24","5/11/2010","FL","Coral Gables",223.6127594,3.72,0,0,0,0,0,2,1
"25","5/18/2010","FL","Coral Gables",216.3696955,3.793636364,0,0,0,0,0,2,1
"26","5/25/2010","FL","Coral Gables",205.5349403,3.904,0,0,0,0,0,2,1
"27","6/1/2010","FL","Coral Gables",131.6265295,4.043333333,0,0,0,0,0,2,1
"28","6/8/2010","FL","Coral Gables",199.9339108,4.406666667,0,1,0,0,0,2,1
"29","6/15/2010","FL","Coral Gables",217.9518899,4.35875,0,1,0,0,0,2,1
"30","6/22/2010","FL","Coral Gables",139.6135316,4.39,0,1,0,0,0,2,1
"31","6/29/2010","FL","Coral Gables",106.4165657,4.520769231,0,1,0,0,0,2,1
"32","7/6/2010","FL","Coral Gables",203.7432037,3.901538462,0,1,0,0,0,2,1
"33","7/13/2010","FL","Coral Gables",159.4336954,4.193571429,0,0,0,0,0,2,1
"34","5/4/2010","FL","Coral Springs",305.1832902,4.49,0,0,0,0,1,1,1
"35","5/11/2010","FL","Coral Springs",235.457109,4.401111111,0,0,0,0,1,1,1
"36","5/18/2010","FL","Coral Springs",239.6949019,3.809230769,0,0,0,0,0,1,1
"37","5/25/2010","FL","Coral Springs",220.9467905,4.064,0,0,0,0,0,1,1
"38","6/1/2010","FL","Coral Springs",233.326003,3.957857143,0,0,0,0,0,1,1
"39","6/8/2010","FL","Coral Springs",143.7947991,3.69,0,0,0,0,0,1,1
"40","6/15/2010","FL","Coral Springs",192.9228886,4.643846154,0,0,0,0,0,1,1
"41","6/22/2010","FL","Coral Springs",134.7129234,4.365,0,0,0,0,0,1,1
"42","6/29/2010","FL","Coral Springs",118.9389233,4.643846154,0,0,0,0,0,1,1
"43","7/6/2010","FL","Coral Springs",206.2203727,3.901538462,0,0,0,0,0,1,1
"44","7/13/2010","FL","Coral Springs",149.3833277,4.101666667,0,0,0,0,0,1,1
"45","5/4/2010","FL","Fort Lauderdale",152.3502852,4.373333333,0,0,0,0,0,3,2
"46","5/11/2010","FL","Fort Lauderdale",118.7681239,4.036666667,0,0,0,0,0,3,2
"47","5/18/2010","FL","Fort Lauderdale",147.8176651,3.843571429,0,0,0,0,0,3,2
"48","5/25/2010","FL","Fort Lauderdale",199.0933264,4.055384615,0,0,0,0,0,3,2
"49","6/1/2010","FL","Fort Lauderdale",160.9697704,3.843571429,0,0,0,0,0,3,2
"50","6/8/2010","FL","Fort Lauderdale",204.559129,4.104285714,0,0,0,0,0,3,2
"51","6/15/2010","FL","Fort Lauderdale",189.2898278,4.116666667,0,0,0,0,0,3,2
"52","6/22/2010","FL","Fort Lauderdale",177.4207836,4.104285714,0,0,0,0,0,3,2
"53","6/29/2010","FL","Fort Lauderdale",173.991296,4.116666667,0,0,0,0,0,3,2
"54","7/6/2010","FL","Fort Lauderdale",141.8678668,3.708571429,0,0,0,0,0,3,2
"55","7/13/2010","FL","Fort Lauderdale",232.0623464,3.708571429,0,0,0,0,0,3,2
"56","5/4/2010","FL","Palm Beach Gardens",179.03076,4.559230769,0,0,0,0,0,1,4
"57","5/11/2010","FL","Palm Beach Gardens",238.2752856,4.20875,0,0,0,0,0,1,4
"58","5/18/2010","FL","Palm Beach Gardens",163.0953412,4.055625,0,0,0,0,0,1,4
"59","5/25/2010","FL","Palm Beach Gardens",239.5760624,4.055625,0,0,0,0,0,1,4
"60","6/1/2010","FL","Palm Beach Gardens",204.9345108,4.055625,0,0,0,0,0,1,4
"61","6/8/2010","FL","Palm Beach Gardens",156.4094638,4.383333333,0,0,0,0,0,1,4
"62","6/15/2010","FL","Palm Beach Gardens",242.6888072,4.47,0,0,0,0,0,1,4
"63","6/22/2010","FL","Palm Beach Gardens",239.123511,4.47,0,0,0,0,0,1,4
"64","6/29/2010","FL","Palm Beach Gardens",199.0133994,4.098333333,0,0,0,0,0,1,4
"65","7/6/2010","FL","Palm Beach Gardens",107.1330289,4.193571429,0,0,0,0,0,1,4
"66","7/13/2010","FL","Palm Beach Gardens",241.6424287,4.371428571,0,0,0,0,0,1,4
"67","5/4/2010","FL","Plantation",201.314071,4.39,0,0,0,0,0,2,5
"68","5/11/2010","FL","Plantation",132.2982835,4.39,0,0,0,0,0,2,5
"69","5/18/2010","FL","Plantation",165.5682952,4.012727273,0,0,0,0,0,2,5
"70","5/25/2010","FL","Plantation",191.6983037,3.809230769,0,0,0,0,0,2,5
"71","6/1/2010","FL","Plantation",182.7393891,4.146666667,0,0,0,0,0,2,5
"72","6/8/2010","FL","Plantation",209.0979724,4.35875,0,0,0,0,0,2,5
"73","6/15/2010","FL","Plantation",239.341231,4.35875,0,0,0,0,0,2,5
"74","6/22/2010","FL","Plantation",137.8719007,4.116666667,0,0,0,0,0,2,5
"75","6/29/2010","FL","Plantation",238.402812,4.336153846,0,0,0,0,0,2,5
"76","7/6/2010","FL","Plantation",237.2250632,4.093076923,0,0,0,0,0,2,5
"77","7/13/2010","FL","Plantation",111.4465412,4.093076923,0,0,0,0,0,2,5
"78","5/4/2010","FL","Sarasota",128.6919114,4.39,0,0,0,0,0,1,3
"79","5/11/2010","FL","Sarasota",281.9486279,4.39,0,0,0,0,0,1,3
"80","5/18/2010","FL","Sarasota",197.5347911,4.145,0,0,0,0,0,1,3
"81","5/25/2010","FL","Sarasota",265.4786215,4.216666667,0,1,0,0,0,1,3
"82","6/1/2010","FL","Sarasota",230.4895378,3.957857143,0,1,0,0,0,1,3
"83","6/8/2010","FL","Sarasota",119.2286587,4.116666667,0,1,0,0,0,1,3
"84","6/15/2010","FL","Sarasota",172.0514559,4.218571429,0,1,0,0,0,1,3
"85","6/22/2010","FL","Sarasota",189.2058763,4.597142857,0,1,0,0,0,1,3
"86","6/29/2010","FL","Sarasota",222.5385612,4.104285714,0,1,0,0,0,1,3
"87","7/6/2010","FL","Sarasota",115.9013064,3.907857143,0,0,0,0,0,1,3
"88","7/13/2010","FL","Sarasota",177.0989664,3.994,0,0,0,0,0,1,3
"89","5/4/2010","MA","Annapolis",155.8729504,3.904285714,0,0,0,0,0,1,1
"90","5/11/2010","MA","Annapolis",193.510218,3.54,0,0,0,0,0,1,1
"91","5/18/2010","MA","Annapolis",309.4946708,3.480909091,0,0,0,0,0,1,1
"92","5/25/2010","MA","Annapolis",254.9288529,3.598333333,0,0,0,0,0,1,1
"93","6/1/2010","MA","Annapolis",195.3083987,3.480909091,0,0,0,0,0,1,1
"94","6/8/2010","MA","Annapolis",267.9387426,4.056666667,0,0,1,0,0,1,1
"95","6/15/2010","MA","Annapolis",247.1300963,4.056666667,0,0,0,1,0,1,1
"96","6/22/2010","MA","Annapolis",299.341685,3.714545455,0,0,0,1,0,1,1
"97","6/29/2010","MA","Annapolis",265.7215291,4.04,0,0,0,1,0,1,1
"98","7/6/2010","MA","Annapolis",259.0427795,3.711666667,0,0,0,0,1,1,1
"99","7/13/2010","MA","Annapolis",280.6576747,3.711666667,0,0,0,0,1,1,1
"100","5/4/2010","MA","Bethesda",138.2312259,3.94,0,0,0,0,0,3,3
"101","5/11/2010","MA","Bethesda",263.2388666,3.523333333,0,0,0,0,0,3,3
"102","5/18/2010","MA","Bethesda",119.9619815,3.547142857,0,0,0,0,0,3,3
"103","5/25/2010","MA","Bethesda",212.3619918,3.44,0,0,0,0,0,3,3
"104","6/1/2010","MA","Bethesda",167.0893707,3.547142857,0,0,0,0,0,3,3
"105","6/8/2010","MA","Bethesda",293.5218341,3.523333333,0,1,1,0,0,3,3
"106","6/15/2010","MA","Bethesda",207.8206997,3.6275,0,1,0,1,0,3,3
"107","6/22/2010","MA","Bethesda",273.7082565,3.6275,0,1,0,1,0,3,3
"108","6/29/2010","MA","Bethesda",252.2503762,3.523333333,0,1,0,1,0,3,3
"109","7/6/2010","MA","Bethesda",299.6356855,3.19625,0,1,0,0,1,3,3
"110","7/13/2010","MA","Bethesda",305.5678494,3.19625,0,1,0,0,1,3,3
"111","5/4/2010","MA","Cedar Center",170.7025241,3.904285714,0,0,0,0,0,2,2
"112","5/11/2010","MA","Cedar Center",115.6879978,3.904285714,0,0,0,0,0,2,2
"113","5/18/2010","MA","Cedar Center",162.4056889,3.618571429,0,0,0,0,0,2,2
"114","5/25/2010","MA","Cedar Center",257.487773,3.7775,0,0,0,0,0,2,2
"115","6/1/2010","MA","Cedar Center",248.6906561,3.7775,0,0,0,0,0,2,2
"116","6/8/2010","MA","Cedar Center",151.293412,3.7525,0,0,0,0,0,2,2
"117","6/15/2010","MA","Cedar Center",155.605048,3.944444444,0,0,0,0,0,2,2
"118","6/22/2010","MA","Cedar Center",110.5601987,3.856666667,0,0,0,0,0,2,2
"119","6/29/2010","MA","Cedar Center",233.259203,3.967777778,0,0,0,0,0,2,2
"120","7/6/2010","MA","Cedar Center",228.3250415,3.473333333,0,0,0,0,0,2,2
"121","7/13/2010","MA","Cedar Center",221.7910534,3.473333333,0,0,0,0,0,2,2
"122","5/4/2010","MA","Columbus",326.9644042,4.118571429,0,0,0,0,1,0,4
"123","5/11/2010","MA","Columbus",172.1360212,4.1275,0,0,0,0,1,0,4
