Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Profit of customer - $Mn,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training1,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.225 , 6.5 , 64 ,59
Training2,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.469 , 9.9 , 56 ,58
Training3,Lost,Logissys,Clinical research,UK,"Logissys,Clinical research,UK",79, 0.887 , 7.0 , 59 ,48
Training4,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.316 , 8.9 , 34 ,41
Training5,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 1.010 , 5.7 , 43 ,63
Training6,Lost,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73, 1.267 , 7.9 , 42 ,56
Training7,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.791 , 9.6 , 35 ,58
Training8,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.820 , 4.6 , 56 ,44
Training9,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31, 0.452 , 9.1 , 51 ,68
Training10,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.934 , 8.0 , 46 ,61
Training11,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.225 , 7.2 , 51 ,62
Training12,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.796 , 10.6 , 48 ,46
Training13,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 2.112 , 7.5 , 55 ,90
Training14,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.560 , 8.8 , 48 ,47
Training15,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 0.170 , 10.2 , 59 ,48
Training16,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 1.100 , 10.2 , 59 ,54
Training17,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.781 , 6.3 , 43 ,74
Training18,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.955 , 8.8 , 41 ,56
Training19,Won,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71, 0.541 , 9.0 , 33 ,90
Training20,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.712 , 7.5 , 53 ,90
Training21,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.162 , 11.5 , 40 ,51
Training22,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.070 , 8.0 , 66 ,54
Training23,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.575 , 8.8 , 45 ,65
Training24,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.391 , 9.3 , 40 ,54
Training25,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.063 , 8.6 , 37 ,40
Training26,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 2.112 , 9.7 , 41 ,53
Training27,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.996 , 3.2 , 63 ,57
Training28,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.836 , 9.7 , 30 ,74
Training29,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.744 , 8.3 , 34 ,49
Training30,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.738 , 6.9 , 51 ,66
Training31,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.787 , 6.9 , 57 ,90
Training32,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.804 , 8.6 , 45 ,56
Training33,Lost,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28, 1.284 , 8.3 , 63 ,57
Training34,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 0.792 , 6.5 , 32 ,62
Training35,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.058 , 7.9 , 54 ,40
Training36,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.493 , 8.7 , 57 ,59
Training37,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.183 , 9.5 , 65 ,68
Training38,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.693 , 6.0 , 53 ,52
Training39,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.460 , 7.6 , 56 ,61
Training40,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.454 , 9.4 , 47 ,59
Training41,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.983 , 7.4 , 28 ,65
Training42,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.989 , 8.3 , 55 ,71
Training43,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.451 , 14.2 , 51 ,56
Training44,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.298 , 8.4 , 49 ,47
Training45,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.192 , 8.8 , 47 ,62
Training46,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.125 , 7.8 , 52 ,60
Training47,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.986 , 5.7 , 39 ,63
Training48,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.845 , 6.1 , 53 ,62
Training49,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.934 , 7.8 , 44 ,59
Training50,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.869 , 8.9 , 49 ,54
Training51,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.796 , 6.9 , 57 ,57
Training52,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.283 , 7.3 , 43 ,74
Training53,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.188 , 6.5 , 33 ,51
Training54,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.805 , 8.0 , 40 ,62
Training55,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67, 1.907 , 6.5 , 42 ,60
Training56,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.745 , 8.3 , 50 ,61
Training57,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.652 , 6.7 , 55 ,52
Training58,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.172 , 6.5 , 67 ,78
